Category,Sub-category,Model Name,Model ID,Min Days,Max Days,Rate,Period
Aerial Work Platforms,Electric Boom Lifts,JLG E600J,jlg-e600j,1,7,700.00,Daily
Aerial Work Platforms,Electric Boom Lifts,JLG E600J,jlg-e600j,8,14,"2,000.00",Weekly
Aerial Work Platforms,Electric Boom Lifts,JLG E600J,jlg-e600j,15,999,"4,000.00",Monthly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-80 DC,genie-z-80-dc,1,7,700.00,Daily
Aerial Work Platforms,Electric Boom Lifts,Genie Z-80 DC,genie-z-80-dc,8,14,"2,000.00",Weekly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-80 DC,genie-z-80-dc,15,999,"4,000.00",Monthly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-40/23N,genie-z-40/23n,1,7,700.00,Daily
Aerial Work Platforms,Electric Boom Lifts,Genie Z-40/23N,genie-z-40/23n,8,14,"2,000.00",Weekly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-40/23N,genie-z-40/23n,15,999,"3,500.00",Monthly
Aerial Work Platforms,Diesel Scissor Lifts,Genie GS-5390 RT,genie-gs-5390-rt,1,7,800.00,Daily
Aerial Work Platforms,Diesel Scissor Lifts,Genie GS-5390 RT,genie-gs-5390-rt,8,14,"2,250.00",Weekly
Aerial Work Platforms,Diesel Scissor Lifts,Genie GS-5390 RT,genie-gs-5390-rt,15,999,"4,500.00",Monthly
Aerial Work Platforms,Diesel Scissor Lifts,JLG 530LRT,jlg-530lrt,1,7,800.00,Daily
Aerial Work Platforms,Diesel Scissor Lifts,JLG 530LRT,jlg-530lrt,8,14,"2,250.00",Weekly
Aerial Work Platforms,Diesel Scissor Lifts,JLG 530LRT,jlg-530lrt,15,999,"4,500.00",Monthly
Aerial Work Platforms,Diesel Scissor Lifts,Genie GS-4390 RT,genie-gs-4390-rt,1,7,700.00,Daily
Aerial Work Platforms,Diesel Scissor Lifts,Genie GS-4390 RT,genie-gs-4390-rt,8,14,"2,000.00",Weekly
Aerial Work Platforms,Diesel Scissor Lifts,Genie GS-4390 RT,genie-gs-4390-rt,15,999,"4,000.00",Monthly
Aerial Work Platforms,Diesel Scissor Lifts,JLG 430LRT,jlg-430lrt,1,7,700.00,Daily
Aerial Work Platforms,Diesel Scissor Lifts,JLG 430LRT,jlg-430lrt,8,14,"2,000.00",Weekly
